Halal,NAME,BSE-ID,NSECode,Industry,More
yes,AMJ LAND HOLDINGS LTD,AMJLAND,AMJLAND,Construction,More
yes,Amkay Products Ltd,AMKAY,,Medical Equipment & Supplies,More
no,AMRAPALI FINCAP LTD,AMRAFIN,,Finance & Investments,More
no,AMRAPALI INDUSTRIES LTD.,AMRAPLIN,,Trading,More
yes,AMRAWORLD AGRICO LTD.,AMRAAGRI,,Textiles,More
no,AMRIT CORP.LTD.,AMRITCORP,,Food - Processing - Indian,More
yes,AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,More
no,Anand Rathi Wealth Ltd,ANANDRATHI,ANANDRATHI,Other Financial Services,More
no,ANAND RAYONS LTD,ARL,,Trading,More
yes,ANANT RAJ LIMITED,ANANTRAJ,ANANTRAJ,Construction,More
no,ANDHRA CEMENTS LTD.,ACL,ACL,Cement - South India,More
yes,ANDHRA PAPER LTD,ANDHRAPAP,ANDHRAPAP,Paper,More
yes,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,,Chemicals,More
yes,ANDHRA SUGARS LTD.,ANDHRSUGAR,ANDHRSUGAR,Diversified - Medium / Small,More
yes,ANDREW YULE & COMPANY LTD.,ANDREWYU,,Diversified - Medium / Small,More
no,ANERI FINCAP LTD,ANERI,,Finance & Investments,More
no,ANG LIFESCIENCES INDIA LTD,ANG,,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
no,ANGEL BROKING LTD,ANGELBRKG,ANGELONE,Finance & Investments,More
no,ANGEL FIBERS LTD,ANGEL,,Textiles - Products,More
yes,ANI INTEGRATED,,AISL,Engineering - Turnkey Services,More
yes,ANIK INDUSTRIES LTD.,ANIKINDS,ANIKINDS,Trading,More
no,ANJANI FINANCE LTD.,ANJANIFIN,,Finance & Investments,More
yes,ANJANI FOODS LTD,ANJANIFOODS,,Food - Processing - Indian,More
no,ANJANI PORTLAND CEMENT LTD.,APCL,APCL,Cement - South India,More
no,ANJANI SYNTHETICS LTD.,ANJANI,,Textiles - Processing,More
yes,ANKA INDIA LTD.,ANKIN,,Plastics Products,More
no,ANKIT METAL & POWER LTD.,ANKITMETAL,ANKITMETAL,Steel - Sponge Iron,More
yes,Anlon Technology Solutions Ltd,,ANLON,Diversified Commercial Services,More
no,ANMOL INDIA LTD,ANMOL,ANMOL,Trading,More
